tier,toDelegate,ens_name,proposal_link,proposal_type,proposal_id,proposal_description,rn
Tier 2,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,katiegarcia.eth,"<a href=""https://vote.optimism.io/proposals/103695324913424597802389181312722993037601032681914451632412140667432224173014"" target=""_blank"">To Read More</a>",Single-Choice Proposal,103695324913424597802389181312722993037601032681914451632412140667432224173014,# Intent #4 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #4 is: Governance Accessibility. The Foundation has set this Intent and proposed a budget of 3M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-4-governance-accessibility-6](https://gov.optimism.io/t/collective-intents/5874#intent-4-governance-accessibility-6),1
Tier 2,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,katiegarcia.eth,"<a href=""https://vote.optimism.io/proposals/71198450000124943585774001801721401846102684730841253382435346479356472263066"" target=""_blank"">To Read More</a>",Single-Choice Proposal,71198450000124943585774001801721401846102684730841253382435346479356472263066,"# Season 5: Intents Budget Proposal #2 
This proposal seeks to reallocate 1,040,000 OP from the Gov Fund to support Mission Requests with strong demand rather than returning that OP to the Gov Fund. 


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/season-5-intents-budget-proposal-2/7937>
",1
Tier 4,0xccc4e8ad313df8150211b1b934725345924ab81d,alucard.eth,"<a href=""https://vote.optimism.io/proposals/27878184270712708211495755831534918916136653803154031118511283847257927730426"" target=""_blank"">To Read More</a>",Single-Choice Proposal,27878184270712708211495755831534918916136653803154031118511283847257927730426,"Delegate Suspension: Fractal Visions - All Optimism Delegates are bound by the delegate code of conduct (https://gov.optimism.io/t/delegate-code-of-conduct/3943.) Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote. - This Delegate Suspension Proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/delegate-suspension-fractal-visions/5710 // Note: the approval threshold for this proposal is 51%, or 20424975 OP. The value displayed by the frontend may differ.",1
Tier 4,0x1d1a13b16667c284b87de62caeeff0ce89e342b2,stablenodegov.eth,"<a href=""https://vote.optimism.io/proposals/22387138384033903985192420283570655912990907953544385753324581204637906644383"" target=""_blank"">To Read More</a>",Single-Choice Proposal,22387138384033903985192420283570655912990907953544385753324581204637906644383,"# Anticapture Commission
Season 5 introduces an Anticapture Commission, comprised of the highest impact delegates. The Anticapture Commission will have a mandate to represent the interests of individual delegates as a key stakeholder group, and to prevent capture of the Token House by any one stakeholder group. If approved by the Token House, the Anticapture Commission would be delegated 10M OP from the Governance Fund in Season 5 and 6.

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/anticapture-commission/6889>
",1
Tier 4,0x025376e7e7f161a198fb5fc90a220a553836d11a,kumosoukai.eth,<nil>,<nil>,<nil>,<nil>,1
Tier 4,0x025376e7e7f161a198fb5fc90a220a553836d11a,kumosoukai.eth,"<a href=""https://vote.optimism.io/proposals/43431989468661837394136288041284191617425689076936311610313173525570196928460"" target=""_blank"">To Read More</a>",Single-Choice Proposal,43431989468661837394136288041284191617425689076936311610313173525570196928460,"# Governor Update #1: Improve advanced delegation voting 
This update enables voters with advanced delegated voting power to cast their votes in a single transaction. This enhancement addresses user feedback on the advanced delegation feature, simplifying the voting process.

If approved by governance, the Optimism Foundation admin will set the governor proxy to a new implementation deployed at 0x637DA4Eeac836188D8C46F63Cb2655f4d3C9F893.


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/proposal-improve-advanced-delegation-voting/7932/1>
",1
Tier 4,0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,web3magnetic.eth,"<a href=""https://vote.optimism.io/proposals/114732572201709734114347859370226754519763657304898989580338326275038680037913"" target=""_blank"">To Read More</a>",Single-Choice Proposal,114732572201709734114347859370226754519763657304898989580338326275038680037913,"Upgrade Proposal: Bedrock - This proposal outlines the Optimism Collective’s first Protocol upgrade of Optimism Mainnet to the Bedrock release. This upgrade aims to provide unprecedented modularity, simplicity, and Ethereum equivalence to the L2 network, with positive impacts on performance and security. Bedrock is the codebase which will help Optimism stand the test of time, and is also preparatory step towards the multi-chain future. - This Protocol Upgrade proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/final-upgrade-proposal-bedrock-v2/5548",1
Tier 4,0x13debc7a8ef08a97531d0f9a7eabf2b0271c5054,<nil>,"<a href=""https://vote.optimism.io/proposals/23645858735980247449510302520189443998369792603230659191221949690963680987113"" target=""_blank"">To Read More</a>",Single-Choice Proposal,23645858735980247449510302520189443998369792603230659191221949690963680987113,"# Chain Delegation Program
The Chain Delegation Program would temporarily delegate a portion of idle OP from the Governance Fund to value-aligned OP Chains. If this proposal is approved by the Token House, a total of 10M OP would be reserved for delegation across as many as 10 OP Chains. Delegations will be made throughout Season 5 and 6, as Chains qualify.

This proposal is eligible for Special Voting Cycle #16b: 
<https://gov.optimism.io/t/chain-delegation-program/6896>
",1
Tier 4,0x5ffd23b1b0350debb17a2cb668929ac5f76d0e18,tekr0x.eth,"<a href=""https://vote.optimism.io/proposals/95119698597711750186734377984697814101707190887694311194110013874163880701970"" target=""_blank"">To Read More</a>",Single-Choice Proposal,95119698597711750186734377984697814101707190887694311194110013874163880701970,"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0x8e055a7ccdce910c256a36585f5f929d2c889a1a,siegfriedr131.eth,"<a href=""https://vote.optimism.io/proposals/23645858735980247449510302520189443998369792603230659191221949690963680987113"" target=""_blank"">To Read More</a>",Single-Choice Proposal,23645858735980247449510302520189443998369792603230659191221949690963680987113,"# Chain Delegation Program
The Chain Delegation Program would temporarily delegate a portion of idle OP from the Governance Fund to value-aligned OP Chains. If this proposal is approved by the Token House, a total of 10M OP would be reserved for delegation across as many as 10 OP Chains. Delegations will be made throughout Season 5 and 6, as Chains qualify.

This proposal is eligible for Special Voting Cycle #16b: 
<https://gov.optimism.io/t/chain-delegation-program/6896>
",1
Tier 4,0x8e055a7ccdce910c256a36585f5f929d2c889a1a,siegfriedr131.eth,"<a href=""https://vote.optimism.io/proposals/64930538748268257621925093712454552173772860987977453334165023026835711650357"" target=""_blank"">To Read More</a>",Single-Choice Proposal,64930538748268257621925093712454552173772860987977453334165023026835711650357,"# Protocol Delegation Program Renewal \n In Season 3, the Protocol Delegation Program was piloted as a way to enable protocols, some of our most important stakeholders, to participate in governance. The Protocol Delegation Program temporarily delegates up to 5M OP from the Governance Fund to value-aligned protocols based on pre-defined criteria. This program was designed to last two Seasons in total, and this proposal would continue the program for duration of the final Season (Season 4.) After Season 4, particpating protocols will need to reaffirm their commitment to Optimism governance via their own treasuries. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/protocol-delegation-program-renewal/5883](https://gov.optimism.io/t/protocol-delegation-program-renewal/5883)",1
Tier 3,0x8f73be66ca8c79382f72139be03746343bf5faa0,mihal.eth,"<a href=""https://vote.optimism.io/proposals/20327152654308054166942093105443920402082671769027198649343468266910325783863"" target=""_blank"">To Read More</a>",Single-Choice Proposal,20327152654308054166942093105443920402082671769027198649343468266910325783863,"# Upgrade #2: Canyon Protocol Upgrade
This proposal outlines the Optimism Collective’s first network upgrade after Bedrock, titled Canyon. The Canyon upgrade contains the Shapella network upgrade from Ethereum, a change to reduce the volatility of the basefee, and several minor bug fixes. This upgrade maintains EVM equivalence and includes several OP Stack specific improvements.

Canyon is code complete in the optimism monorepo at commit 6cce3728b7bed5e36234aeba3b773e0f97867be3 and op-geth at commit ed8e9f54ed0a5069e77ea34895ff12a9ac4ca17f
If this vote passes, Canyon will activate on op-mainnet, base-mainnet, pgn-mainnet, & zora-mainnet on Thu Jan 11 17:00:01 UTC 2024 (Unix Time 1704992401) barring a critical security issue.

This vote requires a 76% approval threshold. The value displayed by the frontend may differ.

This proposal is eligible for Special Voting Cycle #16c: 
https://gov.optimism.io/t/draft-upgrade-proposal-2-canyon-network-upgrade/7088",1
Tier 4,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,brichis.eth,"<a href=""https://vote.optimism.io/proposals/11595556248137084019024264942104169821784001997050285438055123196153848845549"" target=""_blank"">To Read More</a>",Single-Choice Proposal,11595556248137084019024264942104169821784001997050285438055123196153848845549,"# Season 5 Intent Budgets
The Intents for Season 5 and their budgets proposed by the Grants Council Lead are:

-   Intent #1: Progress Towards Technical Decentralization
    -   Proposed budget: 1.33M OP

-   Intent #2: Grow the Superchain
    -   Proposed budget: 4M OP

-   Intent #3: Improve the Consumer Experience
    -   Proposed budget: 1.33M OP

-   Intent #4: Improve Governance Accessibility
    -   Proposed budget: 1.33M OP

-   Unallocated Budget: 1M reserved for general allocation

Total Intents Budget: up to 9M OP

Any budget that is not allocated under these Intent will be returned to the Governance Fund.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/season-5-intents-budget-proposal/7040>
",1
Tier 4,0x8e68a6d0c77719be744cb05ffeb0aeff68d3856c,<nil>,"<a href=""https://vote.optimism.io/proposals/114318499951173425640219752344574142419220609526557632733105006940618608635406"" target=""_blank"">To Read More</a>",Multi-Choice Proposal,114318499951173425640219752344574142419220609526557632733105006940618608635406,"# Summary of Code of Conduct enforcement decisions
The elected Token House Code of Conduct Council’s decisions are subject to optimistic approval by the Token House. That means the Council’s decisions are assumed to be approved unless 12% of the votable supply in the Token House votes to veto an enforcement action. You should only cast a vote if you want to override the decisions made by the Council. If this proposal is veto-d, the enforcement actions will go to a full Token House vote. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/code-of-conduct-council-communication-thread/7453> ",1
Tier 4,0xa60f492f5d52e0461b55d37ba4ce95c9d5eff62b,altarigames.eth,"<a href=""https://vote.optimism.io/proposals/27878184270712708211495755831534918916136653803154031118511283847257927730426"" target=""_blank"">To Read More</a>",Single-Choice Proposal,27878184270712708211495755831534918916136653803154031118511283847257927730426,"Delegate Suspension: Fractal Visions - All Optimism Delegates are bound by the delegate code of conduct (https://gov.optimism.io/t/delegate-code-of-conduct/3943.) Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote. - This Delegate Suspension Proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/delegate-suspension-fractal-visions/5710 // Note: the approval threshold for this proposal is 51%, or 20424975 OP. The value displayed by the frontend may differ.",1
Tier 4,0xa60f492f5d52e0461b55d37ba4ce95c9d5eff62b,altarigames.eth,"<a href=""https://vote.optimism.io/proposals/47864371633107534187617995773541299064963460661119440983190542488743950169122"" target=""_blank"">To Read More</a>",Single-Choice Proposal,47864371633107534187617995773541299064963460661119440983190542488743950169122,"# Grants Council Operating Budget
The Grants Council plays an important role in the Collective and is assumed to persist unless a Council Dissolution Proposal is passed. 

The Token House must vote on a Council Operating Budget, thereby renewing the Council for another Season and electing the proposal author as Council Lead. Delegates are effectively electing the Council Lead that has authored an approved budget. 

The sole proposed Grants Council Operating Budget is proposed by Lund Ventures (Dane Lund) with a proposed operating budget of 440k OP: <https://gov.optimism.io/t/draft-season-5-grants-council-operating-budget/6941>

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/grants-council-operating-budget-template/6891>
",1
Tier 4,0x0b846d075512953b1764b9f78af1e268923de6da,optimisticus.eth,"<a href=""https://vote.optimism.io/proposals/80982553847843251343725022866904947381762263529096361834044805234222094077710"" target=""_blank"">To Read More</a>",Single-Choice Proposal,80982553847843251343725022866904947381762263529096361834044805234222094077710,"# Inflation Adjustment Proposal
Inflation of the OP token is set to 2% per year by default. This inflation parameter can be adjusted by governance. This proposal would reduce inflation in Year 2 to 0%.

This Season 4 proposal is eligible for voting in Special Voting Cycle #12b: [https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936](https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936).",1
Tier 4,0x0b846d075512953b1764b9f78af1e268923de6da,optimisticus.eth,"<a href=""https://vote.optimism.io/proposals/112047914448178129124907599845371359974256142096707624346739203514792263033877"" target=""_blank"">To Read More</a>",Single-Choice Proposal,112047914448178129124907599845371359974256142096707624346739203514792263033877,"# Ratification of Law of Chains
The Law of Chains is an open neutrality framework that establishes certain protections for participants in the Superchain ecosystem. Its purpose is to promote core principles of user protection, decentralization and economic autonomy as foundations for the developing Superchain. The Token House will ratify this foundational governing document.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/ratification-law-of-chains/7049>
",1
Tier 4,0x55045da52be49461af91a235e4303d4a9b2312ae,mrtn.eth,"<a href=""https://vote.optimism.io/proposals/95119698597711750186734377984697814101707190887694311194110013874163880701970"" target=""_blank"">To Read More</a>",Single-Choice Proposal,95119698597711750186734377984697814101707190887694311194110013874163880701970,"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0x55045da52be49461af91a235e4303d4a9b2312ae,mrtn.eth,"<a href=""https://vote.optimism.io/proposals/10572947036210533292634221606922807092762967787561796032397523909369599512554"" target=""_blank"">To Read More</a>",Single-Choice Proposal,10572947036210533292634221606922807092762967787561796032397523909369599512554,"# Proposal to Reclassify Grant Misusage Enforcement
The Foundation proposes two changes to eliminate delegate responsibility for grant misusage enforcement. This proposal is based on strong feedback from delegates that they do not wish to vote on enforcement actions and instead transfers this responsibility to the elected Token House Code of Conduct Council. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/proposal-to-reclassify-grant-misusage-enforcement/7384>",1
Tier 4,0x22e2f326fe5a1d07e1214eb1c08346fd816e8375,nanobro.eth,"<a href=""https://vote.optimism.io/proposals/47253113366919812831791422571513347073374828501432502648295761953879525315523"" target=""_blank"">To Read More</a>",Single-Choice Proposal,47253113366919812831791422571513347073374828501432502648295761953879525315523,"# Protocol Upgrade #6: Multi-Chain Prep (MCP) L1
Upgrade proposal: MCP - This protocol upgrade strengthens the security and upgradeability of the Superchain by enabling L1 contracts to be upgraded atomically across multiple chains in a single transaction. This upgrade also extends the SystemConfig to contain the addresses of the contracts in the network, allowing users to discover the system’s contract addresses programmatically.
The upgrade is code complete as of commit [e6ef3a900c42c8722e72c2e2314027f85d12ced5](https://github.com/ethereum-optimism/optimism/commit/e6ef3a900c42c8722e72c2e2314027f85d12ced5) ([release](https://github.com/ethereum-optimism/optimism/releases/tag/op-contracts%2Fv1.3.0-rc.1) and [tag](https://github.com/ethereum-optimism/optimism/tree/op-contracts/v1.3.0-rc.1)) in the Optimism monorepo.

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677>

If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0xe7589a9435e27bf1443ebb279083f044c054e9fe,<nil>,"<a href=""https://vote.optimism.io/proposals/103606400798595803012644966342403441743733355496979747669804254618774477345292"" target=""_blank"">To Read More</a>",<nil>,103606400798595803012644966342403441743733355496979747669804254618774477345292,Test Vote 3: All Together Now -- Come try out the new vote.optimism.io!,1
Tier 4,0xc0154f58e5d1585f9e3179f946e7ea25da616dda,shavestach.eth,"<a href=""https://vote.optimism.io/proposals/32970701904870446614408373011942917680422376755229075190214017021915019093516"" target=""_blank"">To Read More</a>",Single-Choice Proposal,32970701904870446614408373011942917680422376755229075190214017021915019093516,"# Intent #2 - Council Intent Budget Proposal \n In Season 3, we experimented with a Grants Council. If renewed, the Grants Council would manage Intent #2: Innovate on Novel Applications.  If this Council Intent Budget is approved, it will renew the Council for another Season and elect the proposal author, Dane Lund, as Council Lead. Reviewer Elections will take place in Special Voting Cycle #12b, if this budget is approved. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: - [https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925](https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925) - [https://gov.optimism.io/t/council-framework-and-renewal/5884](https://gov.optimism.io/t/council-framework-and-renewal/5884)",1
Tier 4,0xdd64399d5fbdee78f95a7a3e755e3492838e5420,amzcryptotech.eth,"<a href=""https://vote.optimism.io/proposals/85591583404433237270543189567126336043697987369929953414380041066767718361144"" target=""_blank"">To Read More</a>",Single-Choice Proposal,85591583404433237270543189567126336043697987369929953414380041066767718361144,"# Ratify Security Council Members
If approved, the below members, appointed by the Optimism Foundation, will serve an initial term on the Optimism Security Council:

Cohort A (12 month initial term)
Kris Kaczor (Phoenix Labs)
Layne Haber (Connext)
Jon Charbonneau (DBA)
Alisha.eth (Glowworm Foundation, former ENS)
Mariano Conti (Independent, former MakerDAO)
Martin Tellechea (The Graph Foundation)
Yoseph Ayele (Borderless Africa)
Cohort B (18 month initial term)
OP Labs PBC
Yoav Weiss (Ethereum Foundation)
Test in Prod
Kain Warwick (Synthetix)
Coinbase Technologies, Inc. (Base)
Elena Nadolinkski (Ironfish)
L2Beat
Alejandro Santander (Independent, former Synthetix)

A Council Lead will be appointed by the Foundation at a later date. 

This proposal is eligible for Special Voting Cycle #16c
https://gov.optimism.io/t/security-council-vote-2-initial-member-ratification/7118",1
